,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],356.814,55.026,270.594,455.374,17.21,10.705,12.0,35.0,1.3
d[1],296.736,63.302,203.48,434.17,16.188,14.412,18.0,26.0,1.16
d[2],310.899,70.331,195.004,428.764,26.373,8.72,7.0,31.0,1.52
d[3],203.682,25.844,168.461,254.629,6.57,2.507,16.0,121.0,1.17
d[4],231.076,50.594,159.384,311.495,21.287,8.471,7.0,62.0,1.61
d[5],225.021,33.587,181.502,292.968,11.048,3.763,9.0,142.0,1.4
d[6],219.441,24.328,175.304,260.938,4.119,1.838,32.0,79.0,1.19
d[7],196.111,33.029,157.426,245.565,13.071,3.748,8.0,40.0,1.53
