,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],337.673,59.219,248.202,410.348,25.696,9.723,6.0,17.0,2.08
d[1],395.812,140.598,208.187,592.64,63.893,20.561,6.0,19.0,2.4
d[2],292.372,50.217,226.284,396.52,14.144,8.41,11.0,14.0,1.33
d[3],241.494,74.014,152.781,339.909,28.594,6.075,7.0,8.0,1.79
d[4],279.325,49.504,224.708,390.277,20.743,10.427,7.0,33.0,1.81
d[5],240.681,20.395,205.646,283.41,5.77,1.957,12.0,53.0,1.31
d[6],240.969,44.707,159.683,314.378,20.129,10.502,5.0,19.0,2.68
d[7],257.317,61.597,176.06,335.433,27.543,3.208,6.0,23.0,1.98
