,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],404.466,103.616,256.957,528.54,46.952,6.708,6.0,16.0,1.99
d[1],321.506,59.615,238.502,424.367,11.551,4.202,30.0,207.0,1.12
d[2],287.785,112.195,168.989,490.544,50.342,19.589,6.0,46.0,2.12
d[3],304.789,71.396,178.794,414.107,22.84,4.037,10.0,39.0,1.36
d[4],265.046,69.262,186.133,390.166,31.881,17.494,6.0,55.0,2.26
d[5],236.366,35.458,188.947,294.514,13.207,6.559,9.0,55.0,1.5
d[6],199.972,41.781,155.634,291.666,16.885,8.808,6.0,20.0,2.01
d[7],263.441,48.689,173.823,334.69,19.157,7.158,8.0,56.0,1.58
