,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],367.873,72.979,259.469,447.073,34.25,13.549,5.0,5.0,2.72
d[1],409.13,154.22,191.209,639.307,72.222,35.832,5.0,5.0,2.63
d[2],336.898,116.222,187.038,497.923,55.424,21.607,5.0,39.0,3.06
d[3],303.365,106.214,177.054,464.28,50.498,20.651,5.0,36.0,3.02
d[4],264.085,50.514,190.281,332.227,23.131,4.296,6.0,33.0,1.97
d[5],255.791,70.125,159.692,355.997,32.599,7.382,5.0,25.0,2.44
d[6],268.468,64.741,205.498,385.505,28.722,16.929,5.0,79.0,2.46
d[7],239.812,39.781,217.17,267.793,11.795,20.741,7.0,5.0,1.7
