,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],393.443,41.598,320.422,465.995,13.545,6.087,10.0,14.0,1.34
d[1],311.692,50.381,240.209,399.742,13.839,5.444,15.0,26.0,1.2
d[2],260.569,67.205,173.094,388.864,22.999,8.068,9.0,17.0,1.45
d[3],222.084,34.613,167.924,286.083,7.152,3.05,18.0,101.0,1.16
d[4],219.903,44.142,165.172,300.235,12.914,5.052,12.0,24.0,1.26
d[5],228.494,35.936,175.579,283.488,14.701,4.381,6.0,18.0,1.88
d[6],204.727,36.543,158.541,277.052,15.271,6.124,6.0,42.0,2.09
d[7],223.588,53.966,171.895,326.831,24.673,13.432,7.0,16.0,1.6
