,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],344.12,51.286,258.934,424.021,18.998,2.158,8.0,128.0,1.54
d[1],325.128,65.331,234.215,442.309,9.006,7.296,84.0,46.0,1.1
d[2],293.284,59.417,200.839,423.571,9.774,8.828,36.0,91.0,1.13
d[3],275.263,61.676,173.603,386.827,12.226,5.127,31.0,99.0,1.12
d[4],226.396,47.501,154.872,314.531,18.269,6.536,7.0,46.0,1.67
d[5],236.69,37.122,172.326,298.795,10.462,2.01,12.0,45.0,1.28
d[6],205.454,24.368,164.457,241.58,5.845,1.26,17.0,280.0,1.18
d[7],214.428,40.66,155.753,275.959,15.822,5.646,8.0,41.0,1.51
