,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d[0],324.687,59.2,263.826,402.081,25.975,4.581,6.0,25.0,2.34
d[1],417.697,86.87,327.412,560.759,40.276,7.487,6.0,15.0,2.03
d[2],355.181,112.353,192.973,514.668,52.377,25.14,5.0,47.0,2.76
d[3],481.955,116.889,302.604,627.195,54.722,25.277,5.0,6.0,3.01
d[4],296.961,32.48,243.132,332.528,13.609,7.966,7.0,25.0,2.05
d[5],346.511,126.616,200.972,533.819,59.366,21.907,5.0,13.0,3.01
d[6],270.902,65.803,184.675,366.639,30.205,12.306,6.0,25.0,2.41
d[7],283.139,79.152,203.591,399.348,36.599,11.768,6.0,63.0,2.35
