# d=[405.09733977 350.28780478 454.83957535 300.39149372 246.48733777
 210.41313463 283.03922427 205.62396273]
# TotalMass=7.074461773977678T, max_u17=47.2377183366194mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910783185998373705e-05
2.000000000000000042e-03,-2.928801013885711782e-04
4.000000000000000083e-03,-7.524312644894723357e-04
6.000000000000000125e-03,-1.427035291777496804e-03
8.000000000000000167e-03,-2.305809815573555115e-03
1.000000000000000021e-02,-3.377660197176632871e-03
1.200000000000000025e-02,-4.631295007815632372e-03
1.400000000000000029e-02,-6.055338171298297115e-03
1.600000000000000033e-02,-7.638542808300465524e-03
1.800000000000000211e-02,-9.370089129407297227e-03
2.000000000000000042e-02,-1.123993798853514976e-02
2.199999999999999872e-02,-1.323917784755057094e-02
2.400000000000000050e-02,-1.536028793398439701e-02
2.600000000000000228e-02,-1.759728450805662578e-02
2.800000000000000058e-02,-1.994572151004137331e-02
2.999999999999999889e-02,-2.240251807324088185e-02
3.200000000000000067e-02,-2.496561892386639503e-02
3.400000000000000244e-02,-2.763351622737787033e-02
3.600000000000000422e-02,-3.040467906663678679e-02
3.799999999999999906e-02,-3.327694678209540402e-02
4.000000000000000083e-02,-3.625276238628791919e-02
4.200000000000000261e-02,-3.934447254730953636e-02
4.399999999999999745e-02,-4.256809182475491254e-02
4.599999999999999922e-02,-4.593719445587118866e-02
4.800000000000000100e-02,-4.946275206353158149e-02
5.000000000000000278e-02,-5.315308311586406514e-02
5.200000000000000455e-02,-5.701389817516396702e-02
5.399999999999999939e-02,-6.104842373703716490e-02
5.600000000000000117e-02,-6.525759021086610656e-02
5.800000000000000294e-02,-6.964027472726753987e-02
5.999999999999999778e-02,-7.419360481760911563e-02
6.199999999999999956e-02,-7.891331352893223017e-02
6.400000000000000133e-02,-8.379412802301758334e-02
6.600000000000000311e-02,-8.883021069281019089e-02
6.800000000000000488e-02,-9.401565654048200937e-02
7.000000000000000666e-02,-9.934502324066347978e-02
7.200000000000000844e-02,-1.048138717285025667e-01
7.399999999999999634e-02,-1.104192879104586161e-01
7.599999999999999811e-02,-1.161603516773890288e-01
7.799999999999999989e-02,-1.220385190069994824e-01
8.000000000000000167e-02,-1.280578772747008875e-01
8.200000000000000344e-02,-1.342252618343684201e-01
8.400000000000000522e-02,-1.405502432321165951e-01
8.600000000000000699e-02,-1.470449683154474996e-01
8.799999999999999489e-02,-1.537238611560151347e-01
8.999999999999999667e-02,-1.606032201334278986e-01
9.199999999999999845e-02,-1.677007451614204725e-01
9.400000000000000022e-02,-1.750350322951284010e-01
9.600000000000000200e-02,-1.826250719328332550e-01
9.800000000000000377e-02,-1.904897820757203430e-01
1.000000000000000056e-01,-1.986404105928547548e-01
1.020000000000000073e-01,-2.070730184640781624e-01
1.040000000000000091e-01,-2.157754332479104864e-01
1.059999999999999970e-01,-2.247342843734306816e-01
1.079999999999999988e-01,-2.339349273737210688e-01
1.100000000000000006e-01,-2.433614416726210539e-01
1.120000000000000023e-01,-2.529966837254228329e-01
1.140000000000000041e-01,-2.628223744488114022e-01
1.160000000000000059e-01,-2.728192000202692702e-01
1.180000000000000077e-01,-2.829669078724437181e-01
1.199999999999999956e-01,-2.932443842661710542e-01
1.219999999999999973e-01,-3.036297052089044213e-01
1.239999999999999991e-01,-3.141001577028794123e-01
1.260000000000000009e-01,-3.246322325473952608e-01
1.280000000000000027e-01,-3.352015926815576363e-01
1.300000000000000044e-01,-3.457830222124299580e-01
1.320000000000000062e-01,-3.563503610626194695e-01
1.340000000000000080e-01,-3.668764290962621133e-01
1.360000000000000098e-01,-3.773329422842327530e-01
1.380000000000000115e-01,-3.876904225710495200e-01
1.400000000000000133e-01,-3.979181030714977751e-01
1.420000000000000151e-01,-4.079838312603424888e-01
1.440000000000000169e-01,-4.178539748310205471e-01
1.459999999999999909e-01,-4.274933375220330567e-01
1.479999999999999927e-01,-4.368650948823387670e-01
1.499999999999999944e-01,-4.459307620336382394e-01
1.519999999999999962e-01,-4.546502064086687112e-01
1.539999999999999980e-01,-4.629817177959878460e-01
1.559999999999999998e-01,-4.708821456563614394e-01
1.580000000000000016e-01,-4.783071097371752178e-01
1.600000000000000033e-01,-4.852201109228401199e-01
1.620000000000000051e-01,-4.916017036117578121e-01
1.640000000000000069e-01,-4.974410645939313369e-01
1.660000000000000087e-01,-5.027276048606074133e-01
1.680000000000000104e-01,-5.074514282929386555e-01
1.700000000000000122e-01,-5.116037871904002277e-01
1.720000000000000140e-01,-5.151775252163879326e-01
1.740000000000000158e-01,-5.181675043144318149e-01
1.759999999999999898e-01,-5.205710165129403544e-01
1.779999999999999916e-01,-5.223881832983877649e-01
1.799999999999999933e-01,-5.236223440509496507e-01
1.819999999999999951e-01,-5.242804312417709278e-01
1.839999999999999969e-01,-5.243733246132602499e-01
1.859999999999999987e-01,-5.239161707080519648e-01
1.880000000000000004e-01,-5.229286492855841351e-01
1.900000000000000022e-01,-5.214351655877454972e-01
1.920000000000000040e-01,-5.194649478793152975e-01
1.940000000000000058e-01,-5.170520334123138717e-01
1.960000000000000075e-01,-5.142351325561826947e-01
1.980000000000000093e-01,-5.110573693858373456e-01
2.000000000000000111e-01,-5.075659062730114579e-01
2.020000000000000129e-01,-5.038114686240373619e-01
2.040000000000000147e-01,-4.998477926315686992e-01
2.060000000000000164e-01,-4.957310228905875138e-01
2.080000000000000182e-01,-4.915190875859895003e-01
2.099999999999999922e-01,-4.872710768288618377e-01
2.119999999999999940e-01,-4.830466452053966964e-01
2.139999999999999958e-01,-4.789054536373393844e-01
2.159999999999999976e-01,-4.749066593054178109e-01
2.179999999999999993e-01,-4.711084566644374028e-01
2.200000000000000011e-01,-4.675566087972025109e-01
