# d=[324.68679633 417.69669401 355.18112578 481.95459645 296.96073482
 346.51138985 270.90154666 283.13891091]
# TotalMass=9.267629258456427T, max_u17=43.7912589005378mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.910709336216372526e-05
2.000000000000000042e-03,-2.928766601919190562e-04
4.000000000000000083e-03,-7.524289462504683617e-04
6.000000000000000125e-03,-1.427065828214539416e-03
8.000000000000000167e-03,-2.305968041357193965e-03
1.000000000000000021e-02,-3.378139557221524619e-03
1.200000000000000025e-02,-4.632402323439989943e-03
1.400000000000000029e-02,-6.057462030576105452e-03
1.600000000000000033e-02,-7.642051433174558255e-03
1.800000000000000211e-02,-9.375141218583734476e-03
2.000000000000000042e-02,-1.124620246642436469e-02
2.199999999999999872e-02,-1.324547315589859504e-02
2.400000000000000050e-02,-1.536416540377099488e-02
2.600000000000000228e-02,-1.759459050941920844e-02
2.800000000000000058e-02,-1.993017740286259776e-02
2.999999999999999889e-02,-2.236535470068115247e-02
3.200000000000000067e-02,-2.489529421631945724e-02
3.400000000000000244e-02,-2.751553242672152844e-02
3.600000000000000422e-02,-3.022150298821668288e-02
3.799999999999999906e-02,-3.300802543161002883e-02
4.000000000000000083e-02,-3.587461956870909713e-02
4.200000000000000261e-02,-3.883087147453655186e-02
4.399999999999999745e-02,-4.189025454983248686e-02
4.599999999999999922e-02,-4.506407917697623222e-02
4.800000000000000100e-02,-4.836140032990670495e-02
5.000000000000000278e-02,-5.178905736256977227e-02
5.200000000000000455e-02,-5.535183292544711836e-02
5.399999999999999939e-02,-5.905270930612001312e-02
5.600000000000000117e-02,-6.289319549561428468e-02
5.800000000000000294e-02,-6.687369700137699158e-02
5.999999999999999778e-02,-7.099391215091017948e-02
6.199999999999999956e-02,-7.525322324427852205e-02
6.400000000000000133e-02,-7.965104648612489346e-02
6.600000000000000311e-02,-8.418714919781777883e-02
6.800000000000000488e-02,-8.886193745655361631e-02
7.000000000000000666e-02,-9.367670068518563209e-02
7.200000000000000844e-02,-9.863381086126382646e-02
7.399999999999999634e-02,-1.037368739752065061e-01
7.599999999999999811e-02,-1.089908305279024409e-01
7.799999999999999989e-02,-1.144020009656378373e-01
8.000000000000000167e-02,-1.199780619552812677e-01
8.200000000000000344e-02,-1.257279600741761649e-01
8.400000000000000522e-02,-1.316617819020478308e-01
8.600000000000000699e-02,-1.377905644015944286e-01
8.799999999999999489e-02,-1.441260444168788457e-01
8.999999999999999667e-02,-1.506803711559042691e-01
9.199999999999999845e-02,-1.574658005926676263e-01
9.400000000000000022e-02,-1.644943941599881498e-01
9.600000000000000200e-02,-1.717777453881588479e-01
9.800000000000000377e-02,-1.793267568529823552e-01
1.000000000000000056e-01,-1.871442958550313673e-01
1.020000000000000073e-01,-1.952179375633490144e-01
1.040000000000000091e-01,-2.035271816628714259e-01
1.059999999999999970e-01,-2.120507496795390745e-01
1.079999999999999988e-01,-2.207667639949565663e-01
1.100000000000000006e-01,-2.296529845967661687e-01
1.120000000000000023e-01,-2.386870741282582642e-01
1.140000000000000041e-01,-2.478468569716487657e-01
1.160000000000000059e-01,-2.571105376178000612e-01
1.180000000000000077e-01,-2.664568475823725358e-01
1.199999999999999956e-01,-2.758650980893933014e-01
1.219999999999999973e-01,-2.853151265492764321e-01
1.239999999999999991e-01,-2.947871370188761553e-01
1.260000000000000009e-01,-3.042614467128281763e-01
1.280000000000000027e-01,-3.137181607121116711e-01
1.300000000000000044e-01,-3.231368040923204288e-01
1.320000000000000062e-01,-3.324959440673645461e-01
1.340000000000000080e-01,-3.417728342759742688e-01
1.360000000000000098e-01,-3.509431094339270363e-01
1.380000000000000115e-01,-3.599805520791714564e-01
