# d=[344.11998212 325.12801499 293.28370985 275.26295056 226.39578059
 236.69013207 205.45418407 214.42815496]
# TotalMass=5.37184828194885T, max_u17=59.45467679678861mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.911259928811244069e-05
2.000000000000000042e-03,-2.929176088611761724e-04
4.000000000000000083e-03,-7.525870310221699500e-04
6.000000000000000125e-03,-1.427501446340209874e-03
8.000000000000000167e-03,-2.306944396150683880e-03
1.000000000000000021e-02,-3.380032289443096489e-03
1.200000000000000025e-02,-4.635670593137398293e-03
1.400000000000000029e-02,-6.062554670305341127e-03
1.600000000000000033e-02,-7.649227738583566465e-03
1.800000000000000211e-02,-9.384200337968395117e-03
2.000000000000000042e-02,-1.125613633740043390e-02
2.199999999999999872e-02,-1.325408190501385815e-02
2.400000000000000050e-02,-1.536769641036841993e-02
2.600000000000000228e-02,-1.758747811669479633e-02
2.800000000000000058e-02,-1.990496548290433473e-02
2.999999999999999889e-02,-2.231287647841006042e-02
3.200000000000000067e-02,-2.480516261155709182e-02
3.400000000000000244e-02,-2.737696168490436413e-02
3.600000000000000422e-02,-3.002444260133058096e-02
3.799999999999999906e-02,-3.274454580673336057e-02
4.000000000000000083e-02,-3.554045219674116518e-02
4.200000000000000261e-02,-3.842697985925753318e-02
4.399999999999999745e-02,-4.142429868447188024e-02
4.599999999999999922e-02,-4.455163899640006420e-02
4.800000000000000100e-02,-4.782684311271608035e-02
5.000000000000000278e-02,-5.126596642710853219e-02
5.200000000000000455e-02,-5.488295522163405549e-02
5.399999999999999939e-02,-5.868942276752210641e-02
5.600000000000000117e-02,-6.269453791855855718e-02
5.800000000000000294e-02,-6.690503207231199290e-02
5.999999999999999778e-02,-7.132533167172069866e-02
6.199999999999999956e-02,-7.595779593521324868e-02
6.400000000000000133e-02,-8.080302312403678244e-02
6.600000000000000311e-02,-8.586022306989704589e-02
6.800000000000000488e-02,-9.112764119500978144e-02
7.000000000000000666e-02,-9.660299914292175272e-02
7.200000000000000844e-02,-1.022839284245357222e-01
7.399999999999999634e-02,-1.081683766055925866e-01
7.599999999999999811e-02,-1.142549698325740354e-01
7.799999999999999989e-02,-1.205433203532353115e-01
8.000000000000000167e-02,-1.270342627800951918e-01
8.200000000000000344e-02,-1.337300268703572603e-01
8.400000000000000522e-02,-1.406343679749173792e-01
8.600000000000000699e-02,-1.477526396424899413e-01
8.799999999999999489e-02,-1.550918040904700479e-01
8.999999999999999667e-02,-1.626603962493652356e-01
9.199999999999999845e-02,-1.704684468924941854e-01
9.400000000000000022e-02,-1.785273694983146309e-01
9.600000000000000200e-02,-1.868498145008790912e-01
9.800000000000000377e-02,-1.954494937911450680e-01
1.000000000000000056e-01,-2.043337873036762953e-01
1.020000000000000073e-01,-2.134963299968599126e-01
1.040000000000000091e-01,-2.229239651053890603e-01
1.059999999999999970e-01,-2.326036811273567984e-01
1.079999999999999988e-01,-2.425223530920317117e-01
1.100000000000000006e-01,-2.526664935232861842e-01
1.120000000000000023e-01,-2.630220209430300105e-01
1.140000000000000041e-01,-2.735740524949435981e-01
1.160000000000000059e-01,-2.843067257828937877e-01
1.180000000000000077e-01,-2.952030534259269534e-01
1.199999999999999956e-01,-3.062448122398823691e-01
1.219999999999999973e-01,-3.174124674571758842e-01
1.239999999999999991e-01,-3.286851310638753687e-01
1.260000000000000009e-01,-3.400405522147457171e-01
1.280000000000000027e-01,-3.514551368048827173e-01
1.300000000000000044e-01,-3.629039926311237174e-01
1.320000000000000062e-01,-3.743609961508110318e-01
1.340000000000000080e-01,-3.857988766115557078e-01
1.360000000000000098e-01,-3.971893132501613799e-01
1.380000000000000115e-01,-4.085030413094941082e-01
1.400000000000000133e-01,-4.197099627721732062e-01
1.420000000000000151e-01,-4.307792579414056466e-01
1.440000000000000169e-01,-4.416794943034429433e-01
1.459999999999999909e-01,-4.523787294828962580e-01
1.479999999999999927e-01,-4.628446055572998930e-01
1.499999999999999944e-01,-4.730444325386447546e-01
1.519999999999999962e-01,-4.829452594623665496e-01
1.539999999999999980e-01,-4.925139322468539693e-01
1.559999999999999998e-01,-5.017171382869551888e-01
1.580000000000000016e-01,-5.105214385987933978e-01
1.600000000000000033e-01,-5.189021159272763084e-01
1.620000000000000051e-01,-5.268520087209581648e-01
1.640000000000000069e-01,-5.343726798821398782e-01
1.660000000000000087e-01,-5.414655854511403188e-01
1.680000000000000104e-01,-5.481320691195663564e-01
1.700000000000000122e-01,-5.543733532596311075e-01
1.720000000000000140e-01,-5.601905342524786668e-01
1.740000000000000158e-01,-5.655845923985555190e-01
1.759999999999999898e-01,-5.705564281652276692e-01
1.779999999999999916e-01,-5.751069366414864881e-01
1.799999999999999933e-01,-5.792371306675604403e-01
1.819999999999999951e-01,-5.829483202189070790e-01
1.839999999999999969e-01,-5.862423514661547763e-01
1.859999999999999987e-01,-5.891219038847849143e-01
1.880000000000000004e-01,-5.915908383489349998e-01
1.900000000000000022e-01,-5.936545838698533695e-01
1.920000000000000040e-01,-5.953205460819894768e-01
1.940000000000000058e-01,-5.965985172199378406e-01
1.960000000000000075e-01,-5.975010655260162284e-01
1.980000000000000093e-01,-5.980438819780600213e-01
2.000000000000000111e-01,-5.982460639461877339e-01
2.020000000000000129e-01,-5.981303187132930299e-01
2.040000000000000147e-01,-5.977230744077748348e-01
2.060000000000000164e-01,-5.970544913618081040e-01
2.080000000000000182e-01,-5.961583727204559091e-01
2.099999999999999922e-01,-5.950719787712844822e-01
2.119999999999999940e-01,-5.938357544698468216e-01
2.139999999999999958e-01,-5.924929836235224290e-01
2.159999999999999976e-01,-5.910893859106186587e-01
2.179999999999999993e-01,-5.896726742436121382e-01
2.200000000000000011e-01,-5.882810296253627724e-01
2.220000000000000029e-01,-5.869315775329529972e-01
2.240000000000000047e-01,-5.856310018663064554e-01
2.260000000000000064e-01,-5.843861774617867821e-01
2.280000000000000082e-01,-5.832037758121617621e-01
2.300000000000000100e-01,-5.820899188952616266e-01
2.320000000000000118e-01,-5.810498800456552759e-01
2.340000000000000135e-01,-5.800878252197704255e-01
2.360000000000000153e-01,-5.792065839767448487e-01
2.380000000000000171e-01,-5.784074374595687962e-01
2.399999999999999911e-01,-5.776899107742620165e-01
2.419999999999999929e-01,-5.770515593101070984e-01
2.439999999999999947e-01,-5.764877423504249920e-01
2.459999999999999964e-01,-5.759913822220916746e-01
2.479999999999999982e-01,-5.755527125337616123e-01
2.500000000000000000e-01,-5.751590240395492160e-01
2.520000000000000018e-01,-5.747944206808288659e-01
2.540000000000000036e-01,-5.744396008889534055e-01
2.560000000000000053e-01,-5.740716799608265308e-01
2.580000000000000071e-01,-5.736640681642120043e-01
2.600000000000000089e-01,-5.731958112677010275e-01
2.620000000000000107e-01,-5.726609998002634150e-01
2.640000000000000124e-01,-5.720594585975331547e-01
2.660000000000000142e-01,-5.713875118386606555e-01
2.680000000000000160e-01,-5.706382050690990138e-01
2.700000000000000178e-01,-5.698015697276568314e-01
2.720000000000000195e-01,-5.688649190534190714e-01
2.740000000000000213e-01,-5.678131662105886379e-01
2.760000000000000231e-01,-5.666291582921439973e-01
2.780000000000000249e-01,-5.652940230195747651e-01
2.800000000000000266e-01,-5.637823846985723364e-01
2.820000000000000284e-01,-5.620575981026987300e-01
2.840000000000000302e-01,-5.600772904700301869e-01
2.860000000000000320e-01,-5.577989238153883145e-01
2.880000000000000338e-01,-5.551802391830943373e-01
2.899999999999999800e-01,-5.521797295616588386e-01
2.919999999999999818e-01,-5.487571356388817323e-01
2.939999999999999836e-01,-5.448739533069684171e-01
2.959999999999999853e-01,-5.404939371303376650e-01
2.979999999999999871e-01,-5.355835805523023740e-01
2.999999999999999889e-01,-5.301125421746818445e-01
3.019999999999999907e-01,-5.240540074985212682e-01
3.039999999999999925e-01,-5.173849879111487304e-01
3.059999999999999942e-01,-5.100865240558263292e-01
3.079999999999999960e-01,-5.021437765747628346e-01
3.099999999999999978e-01,-4.935460137296632244e-01
3.119999999999999996e-01,-4.842865026658767502e-01
3.140000000000000013e-01,-4.743623175683660542e-01
3.160000000000000031e-01,-4.637740831910376338e-01
3.180000000000000049e-01,-4.525256757080979853e-01
3.200000000000000067e-01,-4.406300074955102897e-01
3.220000000000000084e-01,-4.281148110508484761e-01
3.240000000000000102e-01,-4.150162346422925919e-01
3.260000000000000120e-01,-4.013724769877839993e-01
3.280000000000000138e-01,-3.872235704858759675e-01
3.300000000000000155e-01,-3.726112085867648305e-01
3.320000000000000173e-01,-3.575786174940429052e-01
3.340000000000000191e-01,-3.421704691989325142e-01
3.360000000000000209e-01,-3.264328303433170486e-01
3.380000000000000226e-01,-3.104131396503659324e-01
3.400000000000000244e-01,-2.941602056335126947e-01
3.420000000000000262e-01,-2.777242159077477068e-01
3.440000000000000280e-01,-2.611567495450577980e-01
3.460000000000000298e-01,-2.445107843804205650e-01
3.480000000000000315e-01,-2.278406918327401387e-01
3.500000000000000333e-01,-2.112022125293867847e-01
3.519999999999999796e-01,-1.946524067284636783e-01
3.539999999999999813e-01,-1.782495741849217386e-01
3.559999999999999831e-01,-1.620531387209208918e-01
3.579999999999999849e-01,-1.461234933951348069e-01
3.599999999999999867e-01,-1.305218029049582673e-01
3.619999999999999885e-01,-1.153097607931059254e-01
3.639999999999999902e-01,-1.005493002473278469e-01
3.659999999999999920e-01,-8.630225882973047158e-02
3.679999999999999938e-01,-7.262999935611998137e-02
3.699999999999999956e-01,-5.959299131811245098e-02
3.719999999999999973e-01,-4.725035959952362391e-02
3.739999999999999991e-01,-3.565940963444311218e-02
3.760000000000000009e-01,-2.487514040439111132e-02
3.780000000000000027e-01,-1.494975857811039685e-02
3.800000000000000044e-01,-5.932208468607507411e-03
3.820000000000000062e-01,2.132266844790145673e-03
3.840000000000000080e-01,9.202518021432782441e-03
3.860000000000000098e-01,1.524182138911278628e-02
3.880000000000000115e-01,2.021813795019558949e-02
3.900000000000000133e-01,2.410428972922923005e-02
3.920000000000000151e-01,2.687804694727029958e-02
3.940000000000000169e-01,2.852212313082977402e-02
3.960000000000000187e-01,2.902407905181473083e-02
3.980000000000000204e-01,2.837614010114932611e-02
4.000000000000000222e-01,2.659922082221082701e-02
4.020000000000000240e-01,2.376686549283452826e-02
4.040000000000000258e-01,1.998054377616911154e-02
4.060000000000000275e-01,1.534490887278667885e-02
4.080000000000000293e-01,9.967304822315435978e-03
4.100000000000000311e-01,3.957232623160388506e-03
4.120000000000000329e-01,-2.574201505696773005e-03
4.140000000000000346e-01,-9.514825933398985899e-03
4.160000000000000364e-01,-1.675189774340964111e-02
4.179999999999999827e-01,-2.417251678341011609e-02
4.199999999999999845e-01,-3.166391854871968697e-02
4.219999999999999862e-01,-3.911363120633883084e-02
4.239999999999999880e-01,-4.640950185324629190e-02
4.259999999999999898e-01,-5.343957019770398387e-02
4.279999999999999916e-01,-6.009179105018001149e-02
4.299999999999999933e-01,-6.625363973424933106e-02
4.319999999999999951e-01,-7.181163623996239531e-02
4.339999999999999969e-01,-7.665083265957196856e-02
4.359999999999999987e-01,-8.065431346280843572e-02
4.380000000000000004e-01,-8.370275897278747768e-02
4.400000000000000022e-01,-8.570806408838989310e-02
4.420000000000000040e-01,-8.664708386389724515e-02
4.440000000000000058e-01,-8.652764092245067429e-02
4.460000000000000075e-01,-8.535473126130871391e-02
4.480000000000000093e-01,-8.313085636426696678e-02
