# d=[404.46641346 321.50640919 287.78511499 304.78852936 265.04641969
 236.36583429 199.97248947 263.44119441]
# TotalMass=6.38999720052202T, max_u17=48.94509289049728mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.911292858578962034e-05
2.000000000000000042e-03,-2.929217584714940764e-04
4.000000000000000083e-03,-7.526072028651030520e-04
6.000000000000000125e-03,-1.427557319852125126e-03
8.000000000000000167e-03,-2.307042637064491905e-03
1.000000000000000021e-02,-3.380124211384255128e-03
1.200000000000000025e-02,-4.635595409293825561e-03
1.400000000000000029e-02,-6.061981924739000792e-03
1.600000000000000033e-02,-7.647616796840131514e-03
1.800000000000000211e-02,-9.380796322365632725e-03
2.000000000000000042e-02,-1.125002012260712878e-02
2.199999999999999872e-02,-1.324428671198258148e-02
2.400000000000000050e-02,-1.535339556206488307e-02
2.600000000000000228e-02,-1.756823849098770873e-02
2.800000000000000058e-02,-1.988105031163283840e-02
2.999999999999999889e-02,-2.228557077722846669e-02
3.200000000000000067e-02,-2.477708606334995747e-02
3.400000000000000244e-02,-2.735232845855677108e-02
3.600000000000000422e-02,-3.000922627676770593e-02
3.799999999999999906e-02,-3.274651077653788905e-02
4.000000000000000083e-02,-3.556902063841339834e-02
4.200000000000000261e-02,-3.849291524726472513e-02
4.399999999999999745e-02,-4.153920149210847679e-02
4.599999999999999922e-02,-4.472726561554254965e-02
4.800000000000000100e-02,-4.807427415730669562e-02
5.000000000000000278e-02,-5.159466511947295719e-02
5.200000000000000455e-02,-5.529976904356560807e-02
5.399999999999999939e-02,-5.919759042709779595e-02
5.600000000000000117e-02,-6.329276796515018177e-02
5.800000000000000294e-02,-6.758671860898861350e-02
5.999999999999999778e-02,-7.207796645745395692e-02
6.199999999999999956e-02,-7.676262511715671588e-02
6.400000000000000133e-02,-8.163498172092677196e-02
6.600000000000000311e-02,-8.668816234074878946e-02
6.800000000000000488e-02,-9.191484463146357142e-02
7.000000000000000666e-02,-9.730796359451628075e-02
7.200000000000000844e-02,-1.028613693428480358e-01
7.399999999999999634e-02,-1.085704019370928031e-01
7.599999999999999811e-02,-1.144323567667262925e-01
7.799999999999999989e-02,-1.204468236245399143e-01
8.000000000000000167e-02,-1.266158827843244239e-01
8.200000000000000344e-02,-1.329441703088674320e-01
8.400000000000000522e-02,-1.394388425184828195e-01
8.600000000000000699e-02,-1.461094363229525350e-01
8.799999999999999489e-02,-1.529676356806082826e-01
8.999999999999999667e-02,-1.600269755709875230e-01
9.199999999999999845e-02,-1.673025046073589039e-01
9.400000000000000022e-02,-1.748104254127593182e-01
