# d=[400. 400. 400. 400. 400. 400. 400. 400.]
# TotalMass=13.551720000000001T, max_u17=22.888620270985108mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.909742787892552146e-05
2.000000000000000042e-03,-2.928104229519407878e-04
4.000000000000000083e-03,-7.522038214708157491e-04
6.000000000000000125e-03,-1.426550065530593275e-03
8.000000000000000167e-03,-2.305071734468470100e-03
1.000000000000000021e-02,-3.376917162803070183e-03
1.200000000000000025e-02,-4.631168861521077311e-03
1.400000000000000029e-02,-6.056898397997726585e-03
1.600000000000000033e-02,-7.643272636895260055e-03
1.800000000000000211e-02,-9.379704826053561484e-03
2.000000000000000042e-02,-1.125604191051359816e-02
2.199999999999999872e-02,-1.326274998245641906e-02
2.400000000000000050e-02,-1.539104398380170338e-02
2.600000000000000228e-02,-1.763294591065593664e-02
2.800000000000000058e-02,-1.998125034346270174e-02
2.999999999999999889e-02,-2.242936624844363985e-02
3.200000000000000067e-02,-2.497102782619284311e-02
3.400000000000000244e-02,-2.759988363631524222e-02
3.600000000000000422e-02,-3.030898979183013764e-02
3.799999999999999906e-02,-3.309024739573951379e-02
4.000000000000000083e-02,-3.593965227830734493e-02
4.200000000000000261e-02,-3.886258725030980465e-02
4.399999999999999745e-02,-4.186757401557270053e-02
4.599999999999999922e-02,-4.496017737603683756e-02
4.800000000000000100e-02,-4.814290940453219703e-02
5.000000000000000278e-02,-5.141532396342560901e-02
5.200000000000000455e-02,-5.477430032589376135e-02
5.399999999999999939e-02,-5.821449833849502709e-02
5.600000000000000117e-02,-6.172895333775091364e-02
5.800000000000000294e-02,-6.530976827396868523e-02
5.999999999999999778e-02,-6.894886391134759374e-02
6.199999999999999956e-02,-7.263872675898172537e-02
6.400000000000000133e-02,-7.637308757182362240e-02
6.600000000000000311e-02,-8.014750931680170165e-02
6.800000000000000488e-02,-8.395986336871935629e-02
7.000000000000000666e-02,-8.781066436387774399e-02
7.200000000000000844e-02,-9.170325550317412477e-02
7.399999999999999634e-02,-9.564384679890738927e-02
7.599999999999999811e-02,-9.964141771337707565e-02
7.799999999999999989e-02,-1.037075022882337216e-01
8.000000000000000167e-02,-1.078558692284141141e-01
8.200000000000000344e-02,-1.121021308144462825e-01
8.400000000000000522e-02,-1.164633241582743450e-01
8.600000000000000699e-02,-1.209574675761942303e-01
8.799999999999999489e-02,-1.256031023179461636e-01
8.999999999999999667e-02,-1.304188468592228367e-01
9.199999999999999845e-02,-1.354229786387741719e-01
9.400000000000000022e-02,-1.406330559107962785e-01
9.600000000000000200e-02,-1.460655904826483886e-01
9.800000000000000377e-02,-1.517357803540644035e-01
1.000000000000000056e-01,-1.576501205533556715e-01
1.020000000000000073e-01,-1.637990945824791822e-01
1.040000000000000091e-01,-1.701643268072951243e-01
1.059999999999999970e-01,-1.767258010715074545e-01
1.079999999999999988e-01,-1.834619524150344350e-01
1.100000000000000006e-01,-1.903498178349133374e-01
1.120000000000000023e-01,-1.973652272028385002e-01
1.140000000000000041e-01,-2.044830097814242797e-01
1.160000000000000059e-01,-2.116771883405735855e-01
1.180000000000000077e-01,-2.189211325471893399e-01
1.199999999999999956e-01,-2.261876465543407877e-01
1.219999999999999973e-01,-2.334489724845272840e-01
1.239999999999999991e-01,-2.406767012116928783e-01
1.260000000000000009e-01,-2.478415934975399526e-01
1.280000000000000027e-01,-2.549133268033228483e-01
1.300000000000000044e-01,-2.618601944773304435e-01
1.320000000000000062e-01,-2.686487930434731108e-01
1.340000000000000080e-01,-2.752437387750554243e-01
1.360000000000000098e-01,-2.816074558429929042e-01
1.380000000000000115e-01,-2.877000748160611909e-01
1.400000000000000133e-01,-2.934794724530073728e-01
1.420000000000000151e-01,-2.989014723745669899e-01
1.440000000000000169e-01,-3.039202125694320245e-01
1.459999999999999909e-01,-3.084886712595235059e-01
1.479999999999999927e-01,-3.125593289723321844e-01
1.499999999999999944e-01,-3.160849331518510996e-01
1.519999999999999962e-01,-3.190193233954886076e-01
1.539999999999999980e-01,-3.213182711244598755e-01
1.559999999999999998e-01,-3.229402873908917004e-01
1.580000000000000016e-01,-3.238473563306504266e-01
1.600000000000000033e-01,-3.240143832702996884e-01
1.620000000000000051e-01,-3.234384962126204410e-01
1.640000000000000069e-01,-3.221305352664042276e-01
1.660000000000000087e-01,-3.201063925988655856e-01
1.680000000000000104e-01,-3.173870297001354368e-01
1.700000000000000122e-01,-3.139983503842619372e-01
1.720000000000000140e-01,-3.099709522609128132e-01
1.740000000000000158e-01,-3.053397852071474960e-01
1.759999999999999898e-01,-3.001437479011035969e-01
1.779999999999999916e-01,-2.944252526765770428e-01
1.799999999999999933e-01,-2.882297851723119586e-01
1.819999999999999951e-01,-2.816054792214169877e-01
1.839999999999999969e-01,-2.746027201096287729e-01
1.859999999999999987e-01,-2.672737817280849137e-01
1.880000000000000004e-01,-2.596724961968301382e-01
1.900000000000000022e-01,-2.518539490276228143e-01
1.920000000000000040e-01,-2.438741893670695049e-01
1.940000000000000058e-01,-2.357899435292425128e-01
1.960000000000000075e-01,-2.276583207779916129e-01
1.980000000000000093e-01,-2.195365027716680573e-01
2.000000000000000111e-01,-2.114814116756246476e-01
2.020000000000000129e-01,-2.035493560332224394e-01
2.040000000000000147e-01,-1.957956574276167039e-01
2.060000000000000164e-01,-1.882742642352665252e-01
2.080000000000000182e-01,-1.810373610225496366e-01
2.099999999999999922e-01,-1.741349832421359156e-01
2.119999999999999940e-01,-1.676146469280500595e-01
2.139999999999999958e-01,-1.615210023171630704e-01
2.159999999999999976e-01,-1.558955190941899160e-01
2.179999999999999993e-01,-1.507762096491140347e-01
2.200000000000000011e-01,-1.461863381742823931e-01
2.220000000000000029e-01,-1.421231912308063006e-01
2.240000000000000047e-01,-1.385690305259656419e-01
2.260000000000000064e-01,-1.355020943041156389e-01
2.280000000000000082e-01,-1.328965979500527084e-01
2.300000000000000100e-01,-1.307228089454021414e-01
2.320000000000000118e-01,-1.289471959779658339e-01
2.340000000000000135e-01,-1.275326481408330381e-01
2.360000000000000153e-01,-1.264387567437776361e-01
2.380000000000000171e-01,-1.256221498149664439e-01
2.399999999999999911e-01,-1.250368682174864687e-01
2.419999999999999929e-01,-1.246347724833411358e-01
2.439999999999999947e-01,-1.243659708039675654e-01
2.459999999999999964e-01,-1.241792607942455856e-01
2.479999999999999982e-01,-1.240225802275745914e-01
2.500000000000000000e-01,-1.238434643996695894e-01
2.520000000000000018e-01,-1.235895096066790405e-01
2.540000000000000036e-01,-1.232088430317807570e-01
2.560000000000000053e-01,-1.226505989295106069e-01
2.580000000000000071e-01,-1.218653993928244528e-01
2.600000000000000089e-01,-1.208152279102713833e-01
2.620000000000000107e-01,-1.194832843336563477e-01
2.640000000000000124e-01,-1.178650245475520442e-01
2.660000000000000142e-01,-1.159591763133091674e-01
2.680000000000000160e-01,-1.137681061541009342e-01
2.700000000000000178e-01,-1.112981188006379879e-01
2.720000000000000195e-01,-1.085596792417523049e-01
2.740000000000000213e-01,-1.055675523790494674e-01
2.760000000000000231e-01,-1.023408602893886715e-01
2.780000000000000249e-01,-9.890306129137726998e-02
2.800000000000000266e-01,-9.527671585062776061e-02
2.820000000000000284e-01,-9.147819530323757220e-02
2.840000000000000302e-01,-8.752262472401788063e-02
2.860000000000000320e-01,-8.342876999272716421e-02
2.880000000000000338e-01,-7.921873003365156873e-02
2.899999999999999800e-01,-7.491757998857513645e-02
2.919999999999999818e-01,-7.055295841640173149e-02
2.939999999999999836e-01,-6.615458911356385252e-02
2.959999999999999853e-01,-6.175372820526629780e-02
2.979999999999999871e-01,-5.738253019869454102e-02
2.999999999999999889e-01,-5.307332284883100465e-02
3.019999999999999907e-01,-4.885780855381861854e-02
3.039999999999999925e-01,-4.476622933638678414e-02
3.059999999999999942e-01,-4.082650283836518346e-02
3.079999999999999960e-01,-3.706335479907064273e-02
3.099999999999999978e-01,-3.349749872171563919e-02
3.119999999999999996e-01,-3.014490571298091004e-02
3.140000000000000013e-01,-2.701620550810395968e-02
3.160000000000000031e-01,-2.411625367091900507e-02
3.180000000000000049e-01,-2.144389041520704600e-02
3.200000000000000067e-01,-1.899800610925515137e-02
3.220000000000000084e-01,-1.678380437564449407e-02
3.240000000000000102e-01,-1.480704560364749789e-02
3.260000000000000120e-01,-1.306846248056526064e-02
3.280000000000000138e-01,-1.156441405384124252e-02
3.300000000000000155e-01,-1.028763089661686829e-02
3.320000000000000173e-01,-9.228013752301833864e-03
3.340000000000000191e-01,-8.373451630016896796e-03
3.360000000000000209e-01,-7.710631199918061181e-03
3.380000000000000226e-01,-7.225816286430435283e-03
3.400000000000000244e-01,-6.905583090509220638e-03
3.420000000000000262e-01,-6.737502521651110576e-03
3.440000000000000280e-01,-6.710765035194843180e-03
3.460000000000000298e-01,-6.816745368420973339e-03
3.480000000000000315e-01,-7.049504666406483655e-03
3.500000000000000333e-01,-7.406226166542443159e-03
3.519999999999999796e-01,-7.887578600015864375e-03
3.539999999999999813e-01,-8.497999589031596940e-03
3.559999999999999831e-01,-9.245890321876651732e-03
3.579999999999999849e-01,-1.014371323188334971e-02
3.599999999999999867e-01,-1.120798656247116824e-02
3.619999999999999885e-01,-1.245917350304836732e-02
3.639999999999999902e-01,-1.392146863311641627e-02
3.659999999999999920e-01,-1.562249005645453305e-02
3.679999999999999938e-01,-1.759289104014624336e-02
3.699999999999999956e-01,-1.986590938051857602e-02
3.719999999999999973e-01,-2.247687540840578174e-02
3.739999999999999991e-01,-2.546270006501434938e-02
3.760000000000000009e-01,-2.886136268892011345e-02
3.780000000000000027e-01,-3.271141426202030245e-02
3.800000000000000044e-01,-3.705150639423987480e-02
3.820000000000000062e-01,-4.191995005229595672e-02
3.840000000000000080e-01,-4.735430185533756609e-02
3.860000000000000098e-01,-5.339097056682053782e-02
3.880000000000000115e-01,-6.006483297195164966e-02
3.900000000000000133e-01,-6.740884716319409109e-02
3.920000000000000151e-01,-7.545365256205982529e-02
3.940000000000000169e-01,-8.422714963449320913e-02
3.960000000000000187e-01,-9.375405773380487973e-02
3.980000000000000204e-01,-1.040554560947951762e-01
4.000000000000000222e-01,-1.151240403115498245e-01
4.020000000000000240e-01,-1.268994211220781654e-01
4.040000000000000258e-01,-1.392920493323207276e-01
4.060000000000000275e-01,-1.522071809619241212e-01
4.080000000000000293e-01,-1.655446335683214421e-01
4.100000000000000311e-01,-1.791986612373398235e-01
4.120000000000000329e-01,-1.930579525928352580e-01
4.140000000000000346e-01,-2.070057433906427602e-01
4.160000000000000364e-01,-2.209200248079493112e-01
4.179999999999999827e-01,-2.346738224630041947e-01
4.199999999999999845e-01,-2.481355108794635611e-01
4.219999999999999862e-01,-2.611691527706436755e-01
4.239999999999999880e-01,-2.736348720032636406e-01
