# d=[353.71362697 302.94215704 277.35133487 234.07570739 229.96580766
 223.88632173 200.87944983 200.66884738]
# TotalMass=4.996760929147234T, max_u17=62.313317438087495mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.911179082130551215e-05
2.000000000000000042e-03,-2.929121147022352759e-04
4.000000000000000083e-03,-7.525712093689055152e-04
6.000000000000000125e-03,-1.427483639747815277e-03
8.000000000000000167e-03,-2.306984326348353927e-03
1.000000000000000021e-02,-3.380297250421646083e-03
1.200000000000000025e-02,-4.636498713837824970e-03
1.400000000000000029e-02,-6.064507332462781494e-03
1.600000000000000033e-02,-7.653109972439911535e-03
1.800000000000000211e-02,-9.391028482380965950e-03
2.000000000000000042e-02,-1.126703666749831294e-02
2.199999999999999872e-02,-1.327011191730648014e-02
2.400000000000000050e-02,-1.538959107015373633e-02
2.600000000000000228e-02,-1.761533523919759855e-02
2.800000000000000058e-02,-1.993789591627030677e-02
2.999999999999999889e-02,-2.234865424277497278e-02
3.200000000000000067e-02,-2.483991618848764571e-02
3.400000000000000244e-02,-2.740494921121342659e-02
3.600000000000000422e-02,-3.003795031243321201e-02
3.799999999999999906e-02,-3.273394082868859994e-02
4.000000000000000083e-02,-3.549440836488845091e-02
4.200000000000000261e-02,-3.833287999991082801e-02
4.399999999999999745e-02,-4.126880090416758240e-02
4.599999999999999922e-02,-4.432137981767306917e-02
4.800000000000000100e-02,-4.750923759895355619e-02
5.000000000000000278e-02,-5.085005557842228047e-02
5.200000000000000455e-02,-5.436024499666243515e-02
5.399999999999999939e-02,-5.805465778483170219e-02
5.600000000000000117e-02,-6.194635633627175453e-02
5.800000000000000294e-02,-6.604645597291065873e-02
5.999999999999999778e-02,-7.036405869196789287e-02
6.199999999999999956e-02,-7.490627174224427642e-02
6.400000000000000133e-02,-7.967828930832702994e-02
6.600000000000000311e-02,-8.468354971388689090e-02
6.800000000000000488e-02,-8.992396649632257433e-02
7.000000000000000666e-02,-9.540020898031174867e-02
7.200000000000000844e-02,-1.011120159571471250e-01
7.399999999999999634e-02,-1.070585255996734514e-01
7.599999999999999811e-02,-1.132386055319474644e-01
7.799999999999999989e-02,-1.196511688336170109e-01
8.000000000000000167e-02,-1.262954546141250856e-01
8.200000000000000344e-02,-1.331712745013244048e-01
8.400000000000000522e-02,-1.402792394011701249e-01
8.600000000000000699e-02,-1.476209446998228703e-01
8.799999999999999489e-02,-1.551991044263378583e-01
8.999999999999999667e-02,-1.630176463648142504e-01
9.199999999999999845e-02,-1.710817714205308815e-01
9.400000000000000022e-02,-1.793979809220629384e-01
9.600000000000000200e-02,-1.879740752752308286e-01
9.800000000000000377e-02,-1.968191266462364919e-01
1.000000000000000056e-01,-2.059362367628600476e-01
1.020000000000000073e-01,-2.153152760876685945e-01
1.040000000000000091e-01,-2.249399857651692425e-01
1.059999999999999970e-01,-2.347950526800858806e-01
1.079999999999999988e-01,-2.448659696800200847e-01
1.100000000000000006e-01,-2.551388777896806959e-01
1.120000000000000023e-01,-2.656003902574693987e-01
1.140000000000000041e-01,-2.762373982928834626e-01
1.160000000000000059e-01,-2.870368589031830897e-01
1.180000000000000077e-01,-2.979855662911362613e-01
1.199999999999999956e-01,-3.090699097298666986e-01
1.219999999999999973e-01,-3.202756225243040822e-01
1.239999999999999991e-01,-3.315875284011750024e-01
1.260000000000000009e-01,-3.429892932244882342e-01
1.280000000000000027e-01,-3.544631911031806970e-01
1.300000000000000044e-01,-3.659898945672091508e-01
1.320000000000000062e-01,-3.775482984167247147e-01
1.340000000000000080e-01,-3.891153860421785460e-01
1.360000000000000098e-01,-4.006661454907181619e-01
1.380000000000000115e-01,-4.121735404071378284e-01
1.400000000000000133e-01,-4.236085383595328269e-01
1.420000000000000151e-01,-4.349401961711955589e-01
1.440000000000000169e-01,-4.461357989484980302e-01
1.459999999999999909e-01,-4.571610467513589904e-01
1.479999999999999927e-01,-4.679802805124987919e-01
1.499999999999999944e-01,-4.785567370504169027e-01
1.519999999999999962e-01,-4.888528219617268578e-01
1.539999999999999980e-01,-4.988303888803344854e-01
1.559999999999999998e-01,-5.084510140459599370e-01
1.580000000000000016e-01,-5.176762562607316598e-01
1.600000000000000033e-01,-5.264767206067234584e-01
1.620000000000000051e-01,-5.348410870505111436e-01
1.640000000000000069e-01,-5.427674464315849212e-01
1.660000000000000087e-01,-5.502546051695885732e-01
1.680000000000000104e-01,-5.573021819928823950e-01
1.700000000000000122e-01,-5.639106649713481190e-01
1.720000000000000140e-01,-5.700814343868653156e-01
1.740000000000000158e-01,-5.758167597867032139e-01
1.759999999999999898e-01,-5.811197815421755841e-01
1.779999999999999916e-01,-5.859944881966198116e-01
1.799999999999999933e-01,-5.904457007602933460e-01
1.819999999999999951e-01,-5.944790739325968021e-01
1.839999999999999969e-01,-5.981011221434424652e-01
1.859999999999999987e-01,-6.013192755304350712e-01
1.880000000000000004e-01,-6.041419677918888897e-01
1.900000000000000022e-01,-6.065787545908697398e-01
1.920000000000000040e-01,-6.086404581402899971e-01
1.940000000000000058e-01,-6.103393310452190912e-01
1.960000000000000075e-01,-6.116892306259330558e-01
1.980000000000000093e-01,-6.127057939238805817e-01
2.000000000000000111e-01,-6.134066034437968273e-01
2.020000000000000129e-01,-6.138113343615155815e-01
2.040000000000000147e-01,-6.139418753030578824e-01
2.060000000000000164e-01,-6.138224166897311429e-01
2.080000000000000182e-01,-6.134795028215108692e-01
2.099999999999999922e-01,-6.129420460997998532e-01
2.119999999999999940e-01,-6.122413038472728219e-01
2.139999999999999958e-01,-6.114108198802584715e-01
2.159999999999999976e-01,-6.104863341962661893e-01
2.179999999999999993e-01,-6.095056647902696856e-01
2.200000000000000011e-01,-6.084975055179639991e-01
2.220000000000000029e-01,-6.074702115963280802e-01
2.240000000000000047e-01,-6.064226966437414879e-01
2.260000000000000064e-01,-6.053553107311507864e-01
2.280000000000000082e-01,-6.042696451060695084e-01
2.300000000000000100e-01,-6.031683333305553063e-01
2.320000000000000118e-01,-6.020548462149865054e-01
2.340000000000000135e-01,-6.009332753736276178e-01
