# d=[150. 150. 150. 150. 150. 150. 150. 150.]
# TotalMass=1.9057106250000002T, max_u17=112.36995760196221mm
Time (s), Displacement (mm)
0.000000000000000000e+00,-5.911960463185197214e-05
2.000000000000000042e-03,-2.929651048865239567e-04
4.000000000000000083e-03,-7.527592503879072198e-04
6.000000000000000125e-03,-1.427977422554432179e-03
8.000000000000000167e-03,-2.308100331498415085e-03
1.000000000000000021e-02,-3.382611509441437164e-03
1.200000000000000025e-02,-4.640994598912802881e-03
1.400000000000000029e-02,-6.072730611225255447e-03
1.600000000000000033e-02,-7.667295341293967233e-03
1.800000000000000211e-02,-9.414157125679320504e-03
2.000000000000000042e-02,-1.130278492221193677e-02
2.199999999999999872e-02,-1.332265707647923604e-02
2.400000000000000050e-02,-1.546325132705670888e-02
2.600000000000000228e-02,-1.771403577489271547e-02
2.800000000000000058e-02,-2.006447070471151922e-02
2.999999999999999889e-02,-2.250401151291621382e-02
3.200000000000000067e-02,-2.502211276341811605e-02
3.400000000000000244e-02,-2.760823335622136082e-02
3.600000000000000422e-02,-3.025184275642690476e-02
3.799999999999999906e-02,-3.294242819416204338e-02
4.000000000000000083e-02,-3.567532257102618010e-02
4.200000000000000261e-02,-3.845753041996448351e-02
4.399999999999999745e-02,-4.130191207196723391e-02
4.599999999999999922e-02,-4.422137080944167631e-02
4.800000000000000100e-02,-4.722886243463836342e-02
5.000000000000000278e-02,-5.033740433903850786e-02
5.200000000000000455e-02,-5.356008375820866391e-02
5.399999999999999939e-02,-5.691006490514581573e-02
5.600000000000000117e-02,-6.040059469260571079e-02
5.800000000000000294e-02,-6.404500678056150587e-02
5.999999999999999778e-02,-6.785673351573671963e-02
6.199999999999999956e-02,-7.184931576968733857e-02
6.400000000000000133e-02,-7.603639093338637744e-02
6.600000000000000311e-02,-8.043167857472065252e-02
6.800000000000000488e-02,-8.504897350994813920e-02
7.000000000000000666e-02,-8.990213649369414861e-02
7.200000000000000844e-02,-9.500508258860183852e-02
7.399999999999999634e-02,-1.003717673296248419e-01
7.599999999999999811e-02,-1.060161708504020056e-01
7.799999999999999989e-02,-1.119522801890315417e-01
8.000000000000000167e-02,-1.181940602389409956e-01
8.200000000000000344e-02,-1.247554234516821403e-01
